d_sample,error_n,error_min,error_mean,error_max,error_stddev,Volume,Result
0.01, 100, 6.07967e-05, 0.000120621, 0.000395298, 4.76738e-05,  1.61051, 1
0.01, 100, 6.50883e-05, 0.000123985, 0.000183821, 3.52994e-05,  2.59374, 2.89189
0.01, 100, 6.17504e-05, 0.000122817, 0.000264645, 3.59067e-05,  4.17725, 2.41119
0.01, 100, 6.12736e-05, 0.000113447, 0.000172615, 3.32263e-05,  6.7275, 2.13509
0.01, 100, 6.00815e-05, 0.000113194, 0.000176191, 3.38799e-05,  10.8347, 2.93569
0.01, 100, 6.55651e-05, 0.00011677, 0.000183105, 3.23349e-05,  17.4494, 2.54309
0.01, 100, 4.19617e-05, 0.000123153, 0.000268459, 3.69607e-05,  28.1024, 2.92743
0.01, 100, 6.1512e-05, 0.000120122, 0.00017333, 3.54583e-05,  45.2593, 2.03491
0.01, 100, 6.07967e-05, 0.000111566, 0.000346422, 4.23678e-05,  72.8905, 1.15075
0.01, 100, 6.74725e-05, 0.000116725, 0.000512838, 5.15768e-05,  117.391, 1.907
0.01, 100, 6.65188e-05, 0.00010947, 0.00034976, 3.94706e-05,  189.059, 2.82968
0.01, 100, 6.17504e-05, 0.00023417, 0.00533152, 0.000652616,  304.482, 2.38464
0.01, 100, 6.1512e-05, 0.000338702, 0.00666595, 0.00109836,  490.371, 2.20079